Date,Seed,Epochs,Learning Rate,Depth,Width,Mean,Mean_array,Forgetting
2025-01-03T18_44_24,0,50,0.01,2,5,45.38238434894396,"[85.67375886524823, 24.975514201762977, 41.889007470651016, 39.02316213494461, 35.35047907211296]",28.031976601655437
2025-01-03T18_58_03,0,50,0.01,2,10,53.112522357098975,"[82.97872340425532, 27.52203721841332, 63.874066168623266, 58.20745216515609, 32.9803328290469]",22.337937052195343
2025-01-03T23_13_57,0,50,0.01,2,15,53.93120431540541,"[82.64775413711584, 37.1694417238002, 63.23372465314835, 54.0281973816717, 32.57690368129097]",21.580782536113283
2025-01-04T04_10_27,0,50,0.01,2,20,56.81100822599101,"[92.90780141843972, 37.36532810969638, 59.92529348986126, 60.775427995971796, 33.08119011598588]",16.534480686115057
2025-01-04T06_29_16,0,50,0.01,2,50,59.68499989040613,"[88.03782505910166, 35.89618021547503, 67.18249733191035, 69.08358509566969, 38.22491174987393]",16.36532191159073
2025-01-04T07_23_02,0,50,0.01,2,75,58.82449863959174,"[86.19385342789599, 34.62291870714985, 71.34471718249733, 70.44310171198389, 31.51790216843167]",17.662031052237126
2025-01-04T08_56_17,0,50,0.01,2,100,61.5752619804294,"[92.71867612293144, 40.74436826640549, 68.51654215581644, 68.932527693857, 36.964195663136664]",14.217036757558692
2025-01-04T10_05_54,0,50,0.01,5,5,29.92878376022686,"[78.58156028368795, 0.0, 2.9882604055496262, 36.35448136958711, 31.719616742309633]",48.77700443197057
2025-01-04T10_20_35,0,50,0.01,5,10,45.49786398476089,"[91.5839243498818, 2.1547502448579823, 36.07257203842049, 68.12688821752266, 29.551185073121534]",28.38765012989514
2025-01-04T10_35_22,0,50,0.01,5,15,43.417534319031425,"[93.56973995271868, 18.266405484818804, 24.439701173959445, 50.0503524672709, 30.76147251638931]",25.28216203884363
2025-01-04T10_50_40,0,50,0.01,5,20,45.365365789384256,"[89.36170212765957, 12.438785504407443, 36.60618996798292, 54.279959718026184, 34.14019162884519]",30.913740438383535
2025-01-04T11_05_20,0,50,0.01,5,50,56.53871416729978,"[95.36643026004728, 36.0920666013712, 54.26894343649946, 72.05438066465257, 24.91174987392839]",17.645632834398356
2025-01-04T11_20_05,0,50,0.01,5,75,55.284897420783274,"[96.548463356974, 36.43486777668952, 61.52614727854856, 54.17925478348439, 27.735753908219866]",19.06198009586742
2025-01-04T11_34_34,0,50,0.01,5,100,59.287712904777244,"[97.02127659574468, 36.82664054848188, 63.55389541088581, 70.04028197381672, 28.996469994957135]",17.91890058351015
2025-01-04T11_49_06,1,50,0.01,2,5,40.02321192965187,"[92.67139479905437, 0.0, 33.778014941302025, 39.67774420946626, 33.98890569843671]",30.273521620773437
2025-01-04T12_02_58,1,50,0.01,2,10,55.11837543166987,"[86.99763593380615, 39.81390793339863, 59.71184631803629, 59.06344410876133, 30.005042864346947]",18.785234228257696
2025-01-04T12_16_38,1,50,0.01,2,15,55.53670683675618,"[93.00236406619385, 25.073457394711067, 59.605122732123796, 64.95468277945619, 35.047907211296014]",18.734581163046354
2025-01-04T13_02_48,1,50,0.01,2,20,58.61401122519929,"[88.88888888888889, 32.95788442703232, 69.957310565635, 63.19234642497482, 38.073625819465455]",16.94685822123072
2025-01-04T14_46_19,1,50,0.01,2,50,58.25986979553842,"[90.02364066193853, 34.42703232125368, 70.22411953041622, 64.50151057401813, 32.123045890065555]",16.832076991282943
2025-01-04T16_24_50,1,50,0.01,2,75,58.94694395174446,"[86.7612293144208, 40.156709108716946, 73.1590181430096, 64.55186304128902, 30.10590015128593]",15.543513430541521
2025-01-04T16_43_30,1,50,0.01,2,100,58.301516404434324,"[87.3758865248227, 36.92458374142997, 68.56990394877268, 67.472306143001, 31.164901664145233]",16.13566822975499
2025-01-04T19_16_53,1,50,0.01,5,5,26.441197047695802,"[91.06382978723404, 0.0, 0.0, 5.0352467270896275, 36.10690872415532]",17.643048851798593
2025-01-04T19_34_18,1,50,0.01,5,10,34.43704679338737,"[96.548463356974, 8.227228207639568, 6.350053361792956, 39.67774420946626, 21.381744831064044]",25.994161428212713
2025-01-04T19_51_42,1,50,0.01,5,15,43.470037514518694,"[91.53664302600473, 7.8354554358472095, 34.95197438633938, 53.071500503524675, 29.954614220877456]",29.006931411888758
2025-01-04T20_09_03,1,50,0.01,5,20,46.14280117539293,"[96.6903073286052, 13.663075416258568, 36.28601921024546, 60.02014098690835, 24.05446293494705]",24.77834433778039
2025-01-04T20_25_47,1,50,0.01,5,50,52.1277350015953,"[94.42080378250591, 34.231145935357496, 49.51974386339381, 55.99194360523666, 26.4750378214826]",20.11841488790367
2025-01-04T20_42_51,1,50,0.01,5,75,57.17413023403103,"[96.31205673758865, 36.0920666013712, 63.39381003201707, 61.933534743202415, 28.139183055975792]",18.611154438551125
2025-01-04T21_01_36,1,50,0.01,5,100,55.31942611037655,"[96.97399527186761, 32.07639569049951, 60.245464247598726, 60.52366565961732, 26.77760968229955]",18.1581555611452
2025-01-04T21_21_13,2,50,0.01,2,5,45.92125933795775,"[90.49645390070921, 13.614103819784527, 47.705442902881536, 47.2809667673716, 30.509329299041855]",27.05744773759975
2025-01-04T21_37_36,2,50,0.01,2,10,48.84243145230356,"[82.22222222222221, 11.753183153770813, 60.56563500533618, 60.72507552870091, 28.946041351487644]",28.74894444110429
2025-01-04T21_54_07,2,50,0.01,2,15,54.871327231463944,"[88.84160756501181, 35.553379040156706, 67.28922091782283, 53.52467270896274, 29.147755925365608]",18.30228266683327
2025-01-04T22_11_37,2,50,0.01,2,20,58.14886418362629,"[85.86288416075651, 39.03036238981391, 64.94130202774814, 65.30715005035248, 35.60262228946041]",16.04011452874741
2025-01-04T22_27_54,2,50,0.01,2,50,58.23694718515945,"[85.34278959810875, 36.33692458374143, 65.47491995731056, 69.43605236656596, 34.5940494200706]",16.630859551281617
2025-01-04T22_43_49,2,50,0.01,2,75,60.12770538949593,"[84.58628841607565, 37.02252693437806, 70.86446104589115, 69.43605236656596, 38.72919818456884]",17.4639731354055
2025-01-04T22_59_49,2,50,0.01,2,100,57.85125426176053,"[88.74704491725768, 36.23898139079334, 67.44930629669157, 68.02618328298087, 28.79475542107917]",15.372996979599257
2025-01-04T23_15_50,2,50,0.01,5,5,26.14274600266308,"[35.319148936170215, 8.227228207639568, 43.75667022411953, 38.87210473313193, 4.53857791225416]",30.354537006248908
2025-01-04T23_33_04,2,50,0.01,5,10,36.95850067199119,"[93.096926713948, 3.4280117531831538, 4.749199573105656, 61.027190332326285, 22.49117498739284]",36.460772377455925
2025-01-04T23_50_10,2,50,0.01,5,15,48.79091260085067,"[87.84869976359339, 20.176297747306563, 38.15368196371398, 70.1409869083585, 27.634896621280884]",27.586700317575495
2025-01-05T00_07_18,2,50,0.01,5,20,51.21253481390589,"[96.07565011820331, 24.2409402546523, 47.59871931696905, 67.92547834843907, 20.22188603126576]",19.822652136286695
2025-01-05T00_23_54,2,50,0.01,5,50,55.89251195944964,"[93.85342789598108, 36.97355533790402, 56.51013874066169, 71.75226586102718, 20.37317196167423]",18.587894703433747
2025-01-05T00_40_46,2,50,0.01,5,75,57.64147111839266,"[95.46099290780143, 37.1694417238002, 58.96478121664887, 72.70896273917423, 23.903177004538577]",17.63790070679439
2025-01-05T00_57_16,2,50,0.01,5,100,53.538228807463724,"[93.14420803782507, 35.45543584720862, 62.27321237993596, 56.44511581067473, 20.37317196167423]",20.952072520901737
2025-01-05T01_13_47,3,50,0.01,2,5,35.25769060930155,"[23.735224586288417, 0.0, 43.38313767342583, 71.90332326283988, 37.266767523953604]",48.52148468172933
2025-01-05T01_29_52,3,50,0.01,2,10,51.10995996491233,"[91.06382978723404, 21.10675808031342, 54.10885805763074, 58.962739174219536, 30.307614725163894]",24.69525290806793
2025-01-05T01_45_54,3,50,0.01,2,15,55.811305600764626,"[87.18676122931443, 26.983349657198826, 59.39167556029883, 67.97583081570997, 37.518910741301056]",19.51607559844785
2025-01-05T02_02_16,3,50,0.01,2,20,55.584179089079626,"[91.96217494089835, 33.25171400587659, 56.883671291355384, 60.775427995971796, 35.047907211296014]",16.38529233986006
2025-01-05T02_18_19,3,50,0.01,2,50,58.61723006864747,"[89.73995271867612, 38.14887365328109, 69.5837780149413, 66.11278952668681, 29.500756429652043]",14.810128254808872
