Date,Seed,Epochs,Learning Rate,Depth,Width,Mean,Mean_array,Forgetting
2025-01-08T23_20_11,0,50,0.001,10,5,21.965500438658648,"[0.0, 0.0, 23.799359658484526, 35.397784491440085, 50.63035804336863]",83.5958898089169
2025-01-08T23_39_15,0,50,0.001,10,10,24.76977714831386,"[25.81560283687943, 0.0, 0.0, 0.0, 98.03328290468987]",92.27553762834305
2025-01-08T23_57_59,0,50,0.001,10,15,25.383790588799123,"[28.179669030732864, 0.0, 0.0, 0.0, 98.73928391326274]",91.47023456840523
2025-01-09T00_38_41,0,50,0.001,10,20,26.75630590726015,"[30.16548463356974, 5.582761998041136, 0.0, 0.0, 98.03328290468987]",89.97829291166371
2025-01-09T00_57_23,0,50,0.001,10,50,20.506875820359582,"[3.5933806146572107, 0.0, 0.0, 0.0, 98.9409984871407]",98.35656951071971
2025-01-09T01_15_59,0,50,0.001,10,75,25.634234762193238,"[28.60520094562648, 1.028403525954946, 0.0, 0.0, 98.53756933938477]",91.74297434863355
2025-01-09T01_34_01,0,50,0.001,10,100,30.533029605323122,"[38.77068557919622, 0.0, 0.0, 15.760322255790534, 98.13414019162884]",85.85705514462502
2025-01-09T01_52_09,1,50,0.001,10,5,21.949549897533284,"[58.86524822695035, 0.0, 0.0, 0.0, 50.88250126071608]",48.65403675127982
2025-01-09T02_28_28,1,50,0.001,10,10,23.805125811042853,"[35.69739952718676, 0.0, 0.0, 20.040281973816718, 63.28794755421079]",72.51810401981777
2025-01-09T06_04_16,1,50,0.001,10,15,27.298818492032616,"[14.089834515366432, 0.0, 0.0, 24.118831822759315, 98.28542612203732]",89.40078218016097
2025-01-09T07_16_40,1,50,0.001,10,20,27.347752050644363,"[11.867612293144209, 0.0, 0.0, 26.837865055387716, 98.03328290468987]",89.55729035866719
2025-01-09T08_25_26,1,50,0.001,10,50,21.34659499361595,"[7.9432624113475185, 0.0, 0.0, 0.0, 98.78971255673223]",97.26023106728515
2025-01-09T08_57_58,1,50,0.001,10,75,25.02634091908885,"[26.24113475177305, 0.0, 0.0, 0.0, 98.8905698436712]",92.84728592428769
2025-01-09T09_14_49,1,50,0.001,10,100,23.6596030800814,"[19.810874704491727, 0.0, 0.0, 0.0, 98.48714069591527]",94.42258948915001
2025-01-09T09_31_51,2,50,0.001,10,5,23.626241492401725,"[22.31678486997636, 0.0, 0.0, 0.0, 95.81442259203227]",91.85691680876451
2025-01-09T09_49_38,2,50,0.001,10,10,28.41934680412995,"[19.810874704491727, 0.4897159647404506, 0.0, 26.08257804632427, 95.7135653050933]",75.05039614406493
2025-01-09T10_07_21,2,50,0.001,10,15,27.79330693876675,"[43.40425531914894, 0.0, 0.0, 0.0, 95.56227937468482]",87.97006766938685
2025-01-09T10_25_43,2,50,0.001,10,20,28.549779508803557,"[45.673758865248224, 0.0, 0.0, 0.0, 97.07513867876955]",87.71106761837017
2025-01-09T10_43_09,2,50,0.001,10,50,29.497381107259905,"[40.04728132387707, 0.0, 9.658484525080043, 0.0, 97.78113968734242]",86.8182243370859
2025-01-09T11_00_14,2,50,0.001,10,75,19.735882662203196,"[0.14184397163120568, 0.0, 0.0, 0.0, 98.53756933938477]",99.20481460993517
2025-01-09T11_17_02,2,50,0.001,10,100,27.11051025918892,"[37.11583924349882, 0.0, 0.0, 0.0, 98.43671205244578]",89.96503100747917
2025-01-09T11_33_59,3,50,0.001,10,5,19.596570852244078,"[0.0, 0.0, 0.0, 0.0, 97.98285426122038]",98.70170633356003
2025-01-09T11_51_42,3,50,0.001,10,10,20.44515701906617,"[40.42553191489361, 11.018609206660138, 0.0, 0.0, 50.7816439737771]",62.38111794873157
2025-01-09T12_09_27,3,50,0.001,10,15,32.41043908684814,"[64.01891252955083, 0.0, 0.0, 0.0, 98.03328290468987]",83.23717555049463
2025-01-09T12_27_53,3,50,0.001,10,20,25.1284857458611,"[27.659574468085108, 0.0, 0.0, 0.0, 97.98285426122038]",92.45881708053184
2025-01-09T12_45_08,3,50,0.001,10,50,26.711458746866093,"[35.27186761229314, 0.0, 0.0, 0.0, 98.28542612203732]",90.31345220817374
2025-01-09T13_02_16,3,50,0.001,10,75,26.425238641931593,"[33.28605200945626, 0.0, 0.0, 0.0, 98.84014120020171]",90.80007943712423
2025-01-09T13_19_20,3,50,0.001,10,100,25.809003492900207,"[29.550827423167846, 0.0, 0.0, 1.0070493454179255, 98.48714069591527]",91.65081366026823
2025-01-09T13_36_28,4,50,0.001,10,5,19.4553706505295,"[0.0, 0.0, 0.0, 0.0, 97.2768532526475]",95.29875355222536
2025-01-09T13_54_09,4,50,0.001,10,10,26.33558379925297,"[31.678486997635936, 1.7140058765915769, 0.0, 0.0, 98.28542612203732]",84.17876905575481
2025-01-09T14_12_07,4,50,0.001,10,15,30.463078007031402,"[54.23167848699764, 0.0, 0.0, 0.0, 98.08371154815936]",85.60903783285545
2025-01-09T14_30_37,4,50,0.001,10,20,33.983520635478484,"[60.7565011820331, 0.0, 0.0, 11.178247734138973, 97.98285426122038]",81.22029769902079
2025-01-09T14_47_52,4,50,0.001,10,50,29.528796186020895,"[49.40898345153664, 0.0, 0.0, 0.0, 98.23499747856783]",87.0418904962306
2025-01-09T15_05_13,4,50,0.001,10,75,19.899157019059167,"[0.7565011820330969, 0.0, 0.0, 0.0, 98.73928391326274]",98.90812059221594
