Epochs,Learning Rate,Depth,Width,Mean
10,0.01,2,10,39.46134292466526
10,0.01,2,25,57.09841823362433
10,0.01,2,50,55.75068800182341
10,0.001,2,25,34.029686433739435
10,0.001,2,50,33.90544257517937
10,0.001,2,75,35.8486619762542
10,0.001,2,100,40.05523449694315
10,0.001,5,25,11.715073917894838
10,0.001,5,50,22.333698166199348
10,0.001,5,75,18.507243352986933
10,0.001,5,100,28.433238757030388
10,0.001,10,25,16.441764039347586
10,0.001,10,50,11.609210018392789
10,0.001,10,75,12.165592878730381
10,0.001,10,100,18.531653948210057
