Epochs,Learning Rate,Depth,Width,Mean
10,0.001,2,50,33.90544257517937
10,0.001,2,75,35.8486619762542
10,0.001,5,50,22.333698166199348
10,0.001,5,75,18.507243352986933
10,0.001,10,50,11.609210018392789
10,0.001,10,75,12.165592878730381
20,0.001,2,50,43.21632249448858
20,0.001,2,75,46.549769859962254
20,0.001,5,50,28.64050159720582
20,0.001,5,75,30.35412422003863
20,0.001,10,50,17.81912055325372
20,0.001,10,75,19.00588717545488
10,0.01,2,50,55.75068800182341
10,0.01,2,75,58.8755041843154
10,0.01,5,50,44.499028719438094
10,0.01,5,75,44.65779980452062
10,0.01,10,50,32.85419327731809
10,0.01,10,75,31.346052911039692
20,0.01,2,50,56.487538068311196
20,0.01,2,75,59.58736766213782
20,0.01,5,50,46.64706620006497
20,0.01,5,75,50.21602590895281
20,0.01,10,50,38.3181570685347
20,0.01,10,75,40.65958501811191
10,0.001,2,100,40.05523449694315
10,0.001,5,100,28.433238757030388
10,0.001,10,100,18.531653948210057
20,0.001,2,100,47.39128420781161
20,0.001,5,100,42.82071298515575
20,0.001,10,100,20.36073802461896
10,0.01,2,100,59.131818535693604
10,0.01,5,100,50.55584449115733
10,0.01,10,100,38.67675748456783
20,0.01,2,100,59.52487776208413
20,0.01,5,100,55.385897807386
20,0.01,10,100,47.17232071238694
