Date,Seed,Epochs,Learning Rate,Depth,Width,Mean,Mean_array,Forgetting
2025-01-06T10_45_26,7,50,0.01,2,5,45.34315338993169,"[90.0709219858156, 27.962781586679725, 27.10779082177161, 46.07250755287009, 35.50176500252144]",28.746586589500183
2025-01-06T11_00_17,7,50,0.01,2,10,52.31704468931832,"[83.02600472813239, 31.145935357492654, 49.786552828175026, 68.7311178247734, 28.895612708018152]",23.87261923587148
2025-01-06T11_14_44,7,50,0.01,2,15,56.34709573409039,"[88.17966903073287, 41.087169441723795, 55.28281750266809, 60.171198388721045, 37.01462430660615]",17.92508546524779
2025-01-06T11_28_58,7,50,0.01,2,20,56.54160445474609,"[81.56028368794325, 45.15181194906954, 64.3009605122732, 56.294058408862035, 35.400907715582456]",18.87178832405668
2025-01-06T11_43_24,7,50,0.01,2,50,58.24652808430388,"[87.84869976359339, 34.52497551420176, 70.11739594450374, 65.15609264853978, 33.58547655068079]",16.602964717094416
2025-01-06T11_57_20,7,50,0.01,2,75,59.172164576765546,"[86.85579196217495, 36.385896180215475, 69.85058697972252, 69.98992950654582, 32.77861825516894]",15.169869588061717
2025-01-06T12_11_16,7,50,0.01,2,100,59.84725643686522,"[83.40425531914893, 40.1077375122429, 73.10565635005337, 69.08358509566969, 33.53504790721129]",15.471748579471255
2025-01-06T12_25_36,8,50,0.01,2,5,44.47694801778346,"[90.2127659574468, 38.19784524975514, 23.532550693703307, 38.11681772406848, 32.32476046394352]",27.112178597524156
2025-01-06T12_39_58,8,50,0.01,2,10,51.42004384304048,"[93.80614657210403, 23.114593535749265, 50.05336179295624, 59.969788519637454, 30.15632879475542]",22.637542445113816
2025-01-06T12_53_47,8,50,0.01,2,15,58.099886141582815,"[85.67375886524823, 38.295788442703234, 65.36819637139808, 65.45820745216515, 35.703479576399396]",16.218900012477008
2025-01-06T13_07_46,8,50,0.01,2,20,55.50498441069622,"[81.89125295508273, 34.03525954946131, 62.86019210245464, 67.37160120845923, 31.366616238023198]",19.271376450452895
2025-01-06T13_21_30,8,50,0.01,2,50,57.834585880389874,"[85.43735224586288, 33.05582761998041, 67.6093916755603, 70.49345417925478, 32.57690368129097]",17.696477284997265
2025-01-06T13_35_39,8,50,0.01,2,75,59.22714403144139,"[86.14657210401892, 37.36532810969638, 69.90394877267876, 68.8318227593152, 33.88804841149773]",16.25041787946466
2025-01-06T13_49_53,8,50,0.01,2,100,59.82210992686741,"[86.57210401891253, 36.67972575905974, 70.11739594450374, 71.6515609264854, 34.08976298537569]",16.70471543208126
