Date,Seed,Epochs,Learning Rate,Depth,Width,Mean,Mean_array,Forgetting
2025-01-07T20_04_24,6,50,0.001,2,5,19.785372344733922,"[0.851063829787234, 0.5386875612144956, 0.16008537886872998, 0.4531722054380665, 96.92385274836107]",98.0093598918622
2025-01-07T20_18_29,6,50,0.001,2,10,36.907302405161246,"[67.89598108747045, 16.993143976493634, 0.96051227321238, 1.3091641490433032, 97.37771053958649]",77.03578521166753
2025-01-07T20_32_12,6,50,0.001,2,15,39.835123624714626,"[59.00709219858156, 21.841332027424095, 0.05336179295624333, 20.996978851963746, 97.2768532526475]",73.25912186188657
2025-01-07T20_46_05,6,50,0.001,2,20,40.17413770005472,"[52.15130023640662, 24.926542605288933, 1.44076840981857, 25.27693856998993, 97.07513867876955]",72.80130630702062
2025-01-07T21_00_05,6,50,0.001,2,50,42.13050635341064,"[60.047281323877066, 28.50146914789422, 0.05336179295624333, 24.672708962739172, 97.37771053958649]",70.70547484544147
2025-01-07T21_14_08,6,50,0.001,2,75,41.478504356669816,"[60.66193853427896, 23.94711067580803, 1.3874066168623265, 23.867069486404834, 97.52899646999495]",71.54563335670184
2025-01-07T21_28_06,6,50,0.001,2,100,41.23769862844091,"[60.09456264775414, 24.534769833496572, 0.21344717182497333, 23.816717019133936, 97.52899646999495]",71.72058911516913
2025-01-07T21_42_09,6,50,0.001,5,5,24.39116890734363,"[71.67848699763594, 0.0, 0.0, 0.0, 50.2773575390822]",56.73784336481086
2025-01-07T21_58_03,6,50,0.001,5,10,33.384668424709595,"[55.22458628841608, 1.3712047012732616, 0.16008537886872998, 12.638469284994965, 97.52899646999495]",81.25328590520027
2025-01-07T22_13_21,6,50,0.001,5,15,30.52745298893955,"[27.56501182033097, 0.0, 0.0, 27.240684793554887, 97.8315683308119]",84.46652084638934
2025-01-07T22_28_30,6,50,0.001,5,20,30.114181916032248,"[42.836879432624116, 9.549461312438785, 0.0, 0.0, 98.18456883509835]",85.9625511333061
2025-01-07T22_43_44,6,50,0.001,5,50,29.385194903478418,"[35.7919621749409, 6.807051909892263, 0.0, 6.545820745216516, 97.78113968734242]",87.01747648916421
2025-01-07T22_59_08,6,50,0.001,5,75,32.36821974538776,"[38.58156028368794, 7.247796278158668, 0.05336179295624333, 18.177240684793556, 97.78113968734242]",83.07507840616009
2025-01-07T23_20_53,6,50,0.001,5,100,40.800901719541635,"[64.77541371158392, 16.01371204701273, 0.10672358591248667, 25.176233635448135, 97.93242561775088]",72.64476793878674
2025-01-07T23_47_38,3,50,0.001,2,5,30.271164482369112,"[34.23167848699764, 0.0, 0.16008537886872998, 20.090634441087612, 96.87342410489158]",84.74389646114511
2025-01-08T00_01_47,3,50,0.001,2,10,29.331330360671558,"[39.81087470449173, 7.051909892262488, 0.0, 2.920443101711984, 96.87342410489158]",86.12599354514079
2025-01-08T00_16_01,3,50,0.001,2,15,29.92581176110295,"[33.191489361702125, 10.186092066601372, 0.21344717182497333, 8.862034239677746, 97.17599596570852]",85.47163862449906
2025-01-08T00_30_03,3,50,0.001,2,20,36.35995491982426,"[46.57210401891253, 16.601371204701273, 0.0, 21.34944612286002, 97.2768532526475]",77.56541119742351
2025-01-08T00_43_58,3,50,0.001,2,50,34.9920954416069,"[46.7612293144208, 11.361410381978452, 0.42689434364994666, 19.033232628398792, 97.37771053958649]",79.50414771744623
2025-01-08T00_57_52,3,50,0.001,2,75,37.271420626927885,"[49.83451536643026, 18.168462291870714, 0.5336179295624333, 20.644511581067473, 97.17599596570852]",76.63887476578655
2025-01-08T01_11_50,3,50,0.001,2,100,37.943802695466914,"[49.550827423167846, 20.323212536728697, 1.0672358591248665, 21.248741188318228, 97.52899646999495]",75.93919487169636
2025-01-08T01_25_35,3,50,0.001,5,5,26.76479271297012,"[35.46099290780142, 0.7835455435847208, 0.0, 0.0, 97.57942511346445]",89.18296250203102
2025-01-08T01_40_35,3,50,0.001,5,10,30.99728174149552,"[44.11347517730497, 0.0, 0.0, 12.990936555891238, 97.88199697428139]",84.06797806840233
2025-01-08T01_55_32,3,50,0.001,5,15,30.081388687023342,"[52.57683215130024, 0.04897159647404505, 0.0, 0.0, 97.78113968734242]",85.56375382718619
2025-01-08T02_10_36,3,50,0.001,5,20,32.036425828042375,"[38.91252955082742, 16.993143976493634, 0.0, 6.596173212487412, 97.68028240040343]",83.39790423991178
2025-01-08T02_25_34,3,50,0.001,5,50,29.954493816294065,"[50.82742316784869, 0.14691478942213515, 0.16008537886872998, 0.25176233635448136, 98.3862834089763]",86.22908375057608
2025-01-08T02_40_49,3,50,0.001,5,75,30.426203820618657,"[39.858156028368796, 7.492654260528893, 0.0, 6.948640483383686, 97.8315683308119]",85.45132686941017
2025-01-08T02_56_17,3,50,0.001,5,100,34.6090903657569,"[52.29314420803782, 10.186092066601372, 0.8004268943436499, 11.48036253776435, 98.28542612203732]",80.35786075084124
