Date,Seed,Epochs,Learning Rate,Depth,Width,Mean,Mean_array,Forgetting
2025-01-06T16_23_46,7,50,0.001,2,5,25.350657182490483,"[28.321513002364068, 1.860920666013712, 0.0, 0.0, 96.57085224407463]",90.35958292593011
2025-01-06T16_37_27,7,50,0.001,2,10,40.34614752595484,"[52.05673758865248, 22.135161606268365, 0.0, 30.16112789526687, 97.37771053958649]",72.77580738857296
2025-01-06T16_51_05,7,50,0.001,2,15,35.024668572234035,"[52.198581560283685, 21.20470127326151, 0.21344717182497333, 4.128902316213495, 97.37771053958649]",79.37704057493431
2025-01-06T17_04_39,7,50,0.001,2,20,39.78346640586717,"[59.19621749408983, 32.370225269343784, 0.05336179295624333, 9.667673716012084, 97.62985375693394]",73.63595356071156
2025-01-06T17_18_09,7,50,0.001,2,50,36.1732416917666,"[48.60520094562648, 19.245837414299707, 1.3874066168623265, 14.04833836858006, 97.57942511346445]",77.99044929864127
2025-01-06T17_31_36,7,50,0.001,2,75,40.01504713652075,"[50.543735224586285, 25.857002938295786, 0.21344717182497333, 25.579053373615306, 97.88199697428139]",73.46513223895172
2025-01-06T17_45_02,7,50,0.001,2,100,40.70105851763673,"[57.16312056737589, 24.289911851126348, 1.814300960512273, 22.70896273917422, 97.52899646999495]",72.39250225722202
2025-01-06T17_58_32,7,50,0.001,5,5,27.1739228925933,"[34.988179669030735, 0.0, 0.0, 50.70493454179255, 50.17650025214322]",72.3939115222632
2025-01-06T18_13_17,7,50,0.001,5,10,24.90725867653115,"[19.1016548463357, 0.0, 0.0, 7.7039274924471295, 97.73071104387292]",92.21214492022793
2025-01-06T18_28_02,7,50,0.001,5,15,26.48594202561507,"[26.761229314420802, 7.7864838393731635, 0.0, 0.0, 97.88199697428139]",90.11317266907099
2025-01-06T18_42_47,7,50,0.001,5,20,41.110872638471264,"[66.7612293144208, 8.276199804113613, 3.6819637139807897, 28.751258811681772, 98.08371154815936]",72.0920100983047
2025-01-06T18_57_27,7,50,0.001,5,50,26.054816934839504,"[27.23404255319149, 4.603330068560235, 0.0, 0.0, 98.43671205244578]",91.12219732701364
2025-01-06T19_12_06,7,50,0.001,5,75,27.64195293962995,"[36.45390070921986, 1.909892262487757, 0.0, 1.812688821752266, 98.03328290468987]",89.07041806150414
2025-01-06T19_26_51,7,50,0.001,5,100,35.687963806919555,"[55.319148936170215, 17.43388834476004, 0.0, 7.7039274924471295, 97.98285426122038]",78.9891674209539
2025-01-06T19_41_27,8,50,0.001,2,5,22.014871085074198,"[13.049645390070921, 0.0, 0.0, 0.0, 97.02471003530006]",91.78302156258925
2025-01-06T19_54_45,8,50,0.001,2,10,30.65306254298877,"[25.579196217494086, 28.697355533790404, 0.0, 1.7623363544813697, 97.22642460917801]",84.51222589464425
